Job Title,Job description Link,badge,Company name,Company Profile Link,Deadline ,Location,Job Type,Salary Amount
Sr. Pattern Technologist & PD (SQ Birichina Limited),https://skill.jobs/jobs/sr-pattern-technologist-pd-sq-birichina-limited-te7Fd49V,Experienced,SQ Group,https://skill.jobs/company-profile/none-zReudYIn,Sun Feb 19 2023,Anywhare,Full Time,Negotiable
Accounts Officer - Service Point (Chattogram),https://skill.jobs/jobs/accounts-officer-service-point-chattogram-XRVbJQsP,Beginner,Walton Hi-Tech Industries PLC.,https://skill.jobs/company-profile/none-ncUCU3cu,Sat Feb 25 2023,"Chattogram, Comilla",Full Time,Negotiable
"Head, System Solutions (SQ Celsius Limited)",https://skill.jobs/jobs/head-system-solutions-sq-celsius-limited-sNSQz7on,Experienced,SQ Group,https://skill.jobs/company-profile/none-zReudYIn,Fri Feb 17 2023,Anywhare,Full Time,Negotiable
Accounts Officer - Service Point 9 (Barishal),https://skill.jobs/jobs/accounts-officer-service-point-9-barishal-jcpW9M7L,Beginner,Walton Hi-Tech Industries PLC.,https://skill.jobs/company-profile/none-ncUCU3cu,Sat Feb 25 2023,"Barishal, Bhola",Full Time,Negotiable
"Manager, Technical",https://skill.jobs/jobs/manager-technical-l446JdTZ,Mid Level,SQ Group,https://skill.jobs/company-profile/none-zReudYIn,Wed Mar 08 2023,Mymensingh (Bhaluka),Full Time,Negotiable
"Manager, Production",https://skill.jobs/jobs/manager-production-3D8JDfVP,Top Level,SQ Group,https://skill.jobs/company-profile/none-zReudYIn,Wed Mar 08 2023,Mymensingh (Bhaluka),Full Time,Negotiable
Asst. Manager (Investigation),https://skill.jobs/jobs/asst-manager-investigation-uQfMzbMY,Beginner,Walton Hi-Tech Industries PLC.,https://skill.jobs/company-profile/none-ncUCU3cu,Fri Feb 24 2023,Gazipur (Kaliakair),Full Time,Negotiable
"Executive/ Sr. Executive, Internal Audit- 1000FiX Services Limited",https://skill.jobs/jobs/executive-sr-executive-internal-audit-1000fix-services-limited-Dw3m9uZM,Beginner,Smart Technologies (BD) Ltd.,https://skill.jobs/company-profile/none-0vms9Zbb,Mon Mar 13 2023,Dhaka,Full Time,Negotiable
"Marketing Officer/ Senior Marketing Officer, ACI Animal Health",https://skill.jobs/jobs/marketing-officer-senior-marketing-officer-aci-animal-health-HNDxkgsK,Beginner,Advanced Chemical Industries Limited (ACI),https://skill.jobs/company-profile/none-OMMAmivQ,Sat Feb 18 2023,Anywhare,Full Time,Negotiable
AGM/DGM - HR & Admin (RHEL),https://skill.jobs/jobs/agmdgm-hr-admin-rhel-2jtGCbbm,Experienced,Rupayan Group,https://skill.jobs/company-profile/none-dOlzv0IM,Sat Feb 25 2023,Dhaka,Full Time,Negotiable
"Manager, HR",https://skill.jobs/jobs/manager-hr-AKlbDXsk,Mid Level,BRAC University,https://skill.jobs/company-profile/none-WFotJsBb,Tue Feb 28 2023,Dhaka,Full Time,Negotiable
Sr. Executive/ Asst. Manager - Sales (RHEL),https://skill.jobs/jobs/sr-executive-asst-manager-sales-rhel-MCkQ9KuL,Beginner,Rupayan Group,https://skill.jobs/company-profile/none-dOlzv0IM,Sat Mar 11 2023,Dhaka,Full Time,Negotiable
Asst. Manager (Investigation),https://skill.jobs/jobs/asst-manager-investigation-G9NX5mxs,Beginner,Walton Hi-Tech Industries PLC.,https://skill.jobs/company-profile/none-ncUCU3cu,Tue Feb 28 2023,Gazipur (Kaliakair),Full Time,Negotiable
Project Manager - Rupayan Construction Ltd.,https://skill.jobs/jobs/project-manager-rupayan-construction-ltd-11XPIrt8,Experienced,Rupayan Group,https://skill.jobs/company-profile/none-dOlzv0IM,Tue Feb 28 2023,Anywhere in Bangladesh,Full Time,Negotiable
