Job Title,Description Link,Company Name,Location,Experience ,Education Qualification,Year,Deadline,Date Posted,Source,location,desc,Company name,Deadline ,Job Type,Salary Amount
executive-assistant commercial,https://jobs.bdjobs.com/jobdetails.asp?id=1132588&fcatId=-1&ln=1,Great Field Sports And Fashion Services Bd Ltd.,Uttara,2 to 4 year(s),BBA/MBA from any reputed university,2023,,,BD Jobs,,,,,,
commercial executive,https://jobs.bdjobs.com/jobdetails.asp?id=1132580&fcatId=-1&ln=1,Olila Glass Industries Ltd.,Dhaka,1 to 3 year(s),Bachelor degree in any discipline,2023,,,BD Jobs,,,,,,
head of engineering (rank of manager/ sr. manager),https://jobs.bdjobs.com/jobdetails.asp?id=1132539&fcatId=-1&ln=1,Akij Printing & Packages Ltd.,Tongi,At least 15 year(s),Bachelor in Engineering (BEngg) in Mechanical or Electrical Engineering,2023,,,BD Jobs,,,,,,
head of hr & admin,https://jobs.bdjobs.com/jobdetails.asp?id=1132570&fcatId=-1&ln=1,A Reputed Company,Anywhere in Bangladesh,15 to 25 year(s),Master of Business Administration (MBA),2023,,,BD Jobs,,,,,,
art teacher,https://jobs.bdjobs.com/jobdetails.asp?id=1131786&fcatId=-1&ln=1,Haileybury Bhaluka,Bhaluka,At least 3 year(s),Master of Arts (MA) in Fine Arts,2023,,,BD Jobs,,,,,,
????? ?????? (???????),https://jobs.bdjobs.com/jobdetails.asp?id=1132513&fcatId=-1&ln=2,Big Bag Super Shop,??????????,Na,Unknown,2023,,,BD Jobs,,,,,,
bangla teacher,https://jobs.bdjobs.com/jobdetails.asp?id=1131885&fcatId=-1&ln=1,Haileybury Bhaluka,Bhaluka,At least 3 year(s),Master of Arts (MA) in Languages,2023,,,BD Jobs,,,,,,
dgm / gm - maintenance (spinning mills),https://jobs.bdjobs.com/jobdetails.asp?id=1132562&fcatId=-1&ln=1,Jamuna High Tech Spinning Mills Ltd. (Jamuna Group),Habiganj,At least 15 year(s),B.Sc in EEE or Mechanical Engineering from any public University.,2023,,,BD Jobs,,,,,,
bangladesh studies teacher,https://jobs.bdjobs.com/jobdetails.asp?id=1131891&fcatId=-1&ln=1,Haileybury Bhaluka,Bhaluka,At least 3 year(s),Master of Arts (MA) in Languages,2023,,,BD Jobs,,,,,,
executive - content development,https://jobs.bdjobs.com/jobdetails.asp?id=1132571&fcatId=-1&ln=1,Bdjobs.Com Limited,Kawran Bazar,Na,Bachelor degree from any reputed university.,2023,,,BD Jobs,,,,,,
computer science teacher,https://jobs.bdjobs.com/jobdetails.asp?id=1131895&fcatId=-1&ln=1,Haileybury Bhaluka,Bhaluka,At least 3 year(s),Master of Science (MSc) in Computer Science,2023,,,BD Jobs,,,,,,
"executive, sales & marketing",https://jobs.bdjobs.com/jobdetails.asp?id=1131706&fcatId=-1&ln=1,Ultima Bangladesh,Anywhere in Bangladesh,At least 2 year(s),HSC/ Diploma in Electrical,2023,,,BD Jobs,,,,,,
english teacher,https://jobs.bdjobs.com/jobdetails.asp?id=1131903&fcatId=-1&ln=1,Haileybury Bhaluka,Bhaluka,At least 3 year(s),Master of Arts (MA) in English,2023,,,BD Jobs,,,,,,
senior officer - (production) dyeing,https://jobs.bdjobs.com/jobdetails.asp?id=1132569&fcatId=-1&ln=1,Fakir Fashion Ltd.,Narayanganj,2 to 4 year(s),Bachelor of Science (BSc) in Textile Engineering(Wet Processing),2023,,,BD Jobs,,,,,,
humanities teacher,https://jobs.bdjobs.com/jobdetails.asp?id=1131907&fcatId=-1&ln=1,Haileybury Bhaluka,Bhaluka,At least 3 year(s),Master of Arts (MA) in History or Geography,2023,,,BD Jobs,,,,,,
manager - communication,https://jobs.bdjobs.com/jobdetails.asp?id=1131818&fcatId=-1&ln=1,Christian Commission For Development In Bangladesh (Ccdb),Dhaka,At least 5 year(s),"Graduate/Post Graduate is required, ideally in Communication, Mass Media and Journalism and other ...",2023,,,BD Jobs,,,,,,
mathematics teacher,https://jobs.bdjobs.com/jobdetails.asp?id=1131911&fcatId=-1&ln=1,Haileybury Bhaluka,Bhaluka,At least 3 year(s),Master of Science (MSc) in Mathematics,2023,,,BD Jobs,,,,,,
